ID,Posted_date,Job Title from List,Job Title,Company,Country,Location,Skills,Salary Info,Source
1,03/15/2025,Full Stack Developer,Fullstack developer,PromptLab,Uzbekistan,Tashkent,"Git, Node.js, React, SQL, TypeScript",19500000,hh.uz
2,03/15/2025,AI Engineer,AI Manager artificial intelligence manager,Kadirovna,Uzbekistan,Tashkent,N/A,16250000,hh.uz
3,03/15/2025,Backend Developer,Python developer,LLC Chat-Bot-START,Uzbekistan,Samarkand,"GitHub, Linux, PostgreSQL, PyCharm, Python, SQL",8500000,hh.uz
4,03/16/2025,Backend Developer,Junior .NET Developer,OOO WatchDog,Uzbekistan,Tashkent,".NET, SQL",10400000,hh.uz
